,index,hl_uri,poi_id,id,nex_id,hf_id,hl_link,hl_reference,hl_source,hl_x,hl_y,vpuid,STAID
0,0,gages-01096500,1676,wb-13946,nex-13947,503379.0,01096500,gages,ref-fab,1968286.709479052,2439567.008794404,01,01096500
1,1,gages-01030500,15303,wb-1937,nex-1938,122913.0,01030500,gages,ref-fab,2133933.997992945,2813687.4946714346,01,01030500
2,2,gages-01031500,17384,wb-2467,nex-2468,143850.0,01031500,gages,ref-fab,2069739.2776654398,2757528.285351345,01,01031500
3,3,gages-01170500,34678,wb-17792,nex-14470,628379.0,01170500,gages,ref-fab,1893863.7489873283,2404384.4905272857,01,01170500
4,4,gages-01199000,46221,wb-18448,nex-18056,815881.0,01199000,gages,ref-fab,1846146.2397715452,2324601.022529609,01,01199000
5,5,gages-01161000,47875,wb-17652,nex-17653,628679.0,01161000,gages,ref-fab,1893630.4169721138,2434294.3764780215,01,01161000
6,6,gages-01015800,7841,wb-19684,nex-19685,56385.0,01015800,gages,ref-fab,2096441.9951749793,2921844.5016925535,01,01015800
7,7,gages-01034500,15604,wb-870,nex-571,184023.0,01034500,gages,ref-fab,2117148.001209121,2777245.4954125807,01,01034500
8,8,gages-01076500,33567,wb-12557,nex-12558,451359.0,01076500,gages,ref-fab,1930615.8724372254,2553445.753744727,01,01076500
9,9,gages-01100000,35187,wb-12698,nex-12600,530399.0,01100000,gages,ref-fab,1993118.8777319193,2445330.7450415483,01,01100000
10,10,gages-01144000,41418,wb-15988,nex-15989,571979.0,01144000,gages,ref-fab,1873084.3732652552,2535984.252587912,01,01144000
11,11,gages-01013500,11933,wb-5542,nex-5540,19215.0,01013500,gages,ref-fab,2058446.0016593845,2993426.50271284,01,01013500
12,12,gages-01017000,40390,wb-19931,nex-19695,51765.0,01017000,gages,ref-fab,2107362.0003382526,2952126.497728997,01,01017000
13,13,gages-01034000,40462,wb-2497,nex-2478,159789.0,01034000,gages,ref-fab,2101096.255603917,2777325.7489005784,01,01034000
14,14,gages-01042500,40912,wb-6515,nex-6516,199794.0,01042500,gages,ref-fab,2014247.6197552986,2760475.8639104613,01,01042500
15,15,gages-01049000,41356,wb-8718,nex-8719,224868.0,01049000,gages,ref-fab,2074937.755975393,2706002.497823923,01,01049000
16,16,gages-01049500,42174,wb-7488,nex-7489,234990.0,01049500,gages,ref-fab,2062581.4016397812,2646521.7834155206,01,01049500
17,17,gages-01047000,42107,wb-7848,nex-7849,256935.0,01047000,gages,ref-fab,2029829.7548205694,2710832.5006532925,01,01047000
18,18,gages-01054000,42458,wb-6647,nex-6648,261954.0,01054000,gages,ref-fab,1947898.0813358242,2637697.55278466,01,01054000
19,19,gages-01052500,43015,wb-7100,nex-7101,263613.0,01052500,gages,ref-fab,1945504.165486262,2688311.532689081,01,01052500
20,20,gages-01054200,42667,wb-6871,nex-6872,273000.0,01054200,gages,ref-fab,1965027.5348833099,2638616.4842974474,01,01054200
21,21,gages-01054500,21133,wb-7281,nex-6669,271782.0,01054500,gages,ref-fab,1993761.2549271174,2664736.249725198,01,01054500
22,22,gages-01022500,43372,wb-3718,nex-3719,345540.0,01022500,gages,ref-fab,2190875.299632068,2728227.616661074,01,01022500
23,23,gages-01081000,44709,wb-12938,nex-12939,469119.0,01081000,gages,ref-fab,1944989.3158442713,2523312.7966010557,01,01081000
24,24,gages-01096000,44943,wb-14084,nex-14085,493719.0,01096000,gages,ref-fab,1963216.4866369378,2434295.4247839614,01,01096000
25,25,gages-01094500,44949,wb-14048,nex-13938,494639.0,01094500,gages,ref-fab,1962590.9765144386,2418037.6537260725,01,01094500
26,26,gages-01099500,45062,wb-14184,nex-14185,503979.0,01099500,gages,ref-fab,1990715.2587741602,2442275.8908408387,01,01099500
27,27,gages-01098530,45241,wb-14272,nex-14254,506419.0,01098530,gages,ref-fab,1991874.7411024277,2407367.977013368,01,01098530
28,28,gages-01129200,45933,wb-14367,nex-14368,546139.0,01129200,gages,ref-fab,1910538.171033655,2698075.893115846,01,01129200
29,29,gages-01152500,47292,wb-17242,nex-17243,597019.0,01152500,gages,ref-fab,1886264.368135726,2501968.5462276903,01,01152500
30,30,gages-01153550,46625,wb-15880,nex-15878,610399.0,01153550,gages,ref-fab,1882555.5806968452,2478137.2471755957,01,01153550
31,31,gages-01154500,32906,wb-14446,nex-14447,620879.0,01154500,gages,ref-fab,1887770.3747339917,2471892.2500488204,01,01154500
32,32,gages-01170000,48166,wb-15470,nex-15468,657579.0,01170000,gages,ref-fab,1889803.7459303613,2405238.5006398153,01,01170000
33,33,gages-01173500,48028,wb-15076,nex-15077,664639.0,01173500,gages,ref-fab,1923735.8196834633,2379003.6611508355,01,01173500
34,34,gages-01177000,48645,wb-15083,nex-15084,675679.0,01177000,gages,ref-fab,1908089.7294747266,2365879.889567023,01,01177000
35,35,gages-01193500,48890,wb-17949,nex-17950,678319.0,01193500,gages,ref-fab,1929864.8582726154,2301114.504470848,01,01193500
36,36,gages-01192500,48898,wb-17905,nex-17906,679239.0,01192500,gages,ref-fab,1911572.4895319298,2322858.904915655,01,01192500
37,37,gages-01183500,49446,wb-14897,nex-14892,701634.0,01183500,gages,ref-fab,1894904.244447357,2356248.7518597785,01,01183500
38,38,gages-01189995,49949,wb-14689,nex-14690,702907.0,01189995,gages,ref-fab,1895734.247247052,2332862.8777727336,01,01189995
39,39,gages-01102000,50342,wb-9949,nex-9950,710146.0,01102000,gages,ref-fab,2023268.7248767584,2453043.9662114885,01,01102000
40,40,gages-01104500,50381,wb-10190,nex-10185,712217.0,01104500,gages,ref-fab,2004236.3818536315,2415184.917326683,01,01104500
41,41,gages-01105730,51326,wb-10264,nex-10265,724225.0,01105730,gages,ref-fab,2044538.7061534848,2394504.513235218,01,01105730
42,42,gages-01111500,51641,wb-10885,nex-10886,740033.0,01111500,gages,ref-fab,1989076.7709915605,2368190.6700850734,01,01111500
43,43,gages-01117000,51575,wb-10774,nex-10775,745030.0,01117000,gages,ref-fab,2008062.0157462652,2332223.1130990875,01,01117000
44,44,gages-01118500,51631,wb-11195,nex-11196,762795.0,01118500,gages,ref-fab,1984368.0696617481,2294791.766298581,01,01118500
45,45,gages-01127000,51460,wb-11651,nex-11638,780598.0,01127000,gages,ref-fab,1965994.400135709,2314809.1891193786,01,01127000
46,46,gages-01205500,45758,wb-18078,nex-18079,802676.0,01205500,gages,ref-fab,1877011.5061191847,2268582.9925993416,01,01205500
47,47,gages-01209700,14761,wb-18873,nex-18860,840733.0,01209700,gages,ref-fab,1862277.1122640995,2239268.9738882734,01,01209700
48,48,gages-01053500,43093,wb-6627,nex-6628,262458.0,01053500,gages,ref-fab,1942045.2487846536,2676454.252729786,01,01053500
49,49,gages-01151500,51682,wb-17168,nex-17169,612119.0,01151500,gages,ref-fab,1880480.7358518906,2525275.6604521344,01,01151500
50,50,gages-01066000,51336,wb-18961,nex-18962,856171.0,01066000,gages,ref-fab,1999459.377323576,2578054.500541604,01,01066000
51,51,gages-01059000,49082,wb-6761,nex-6694,276654.0,01059000,gages,ref-fab,2036657.2473161928,2616646.2531249924,01,01059000
52,52,gages-01046500,20277,wb-6529,nex-6530,854893.0,01046500,gages,ref-fab,2030431.7527256613,2730908.49869738,01,01046500
53,53,gages-01109060,25512,wb-10598,nex-10599,861607.0,01109060,gages,ref-fab,2028547.3410918883,2361786.2281995327,01,01109060
54,54,gages-01169900,34633,wb-15473,nex-15474,859231.0,01169900,gages,ref-fab,1886302.3810872945,2404244.61058448,01,01169900
55,55,gages-01119500,41405,wb-11364,nex-11365,862831.0,01119500,gages,ref-fab,1941384.1455899507,2323885.7996973186,01,01119500
56,56,gages-01181000,42465,wb-14927,nex-14928,860167.0,01181000,gages,ref-fab,1877035.125048159,2366653.4761996064,01,01181000
57,57,gages-01168500,43499,wb-15457,nex-15458,859195.0,01168500,gages,ref-fab,1869331.1402549145,2409058.744195733,01,01168500
58,58,gages-01019000,14974,wb-5939,nex-5940,855577.0,01019000,gages,ref-fab,2186864.9785832106,2791737.342867076,01,01019000
59,59,gages-01139000,40302,wb-17017,nex-17018,858007.0,01139000,gages,ref-fab,1890107.431854009,2590809.909019638,01,01139000
60,60,gages-01064500,29501,wb-18944,nex-18945,856207.0,01064500,gages,ref-fab,1968533.3763385105,2593887.6731526763,01,01064500
61,61,gages-01116500,49749,wb-11144,nex-11057,744821.0,01116500,gages,ref-fab,2004889.8039209293,2344366.3631776613,01,01116500
62,62,gages-01184490,45551,wb-17871,nex-17861,859663.0,01184490,gages,ref-fab,1911356.866982622,2338137.3943308997,01,01184490
63,63,gages-01173000,15730,wb-15069,nex-15070,859303.0,01173000,gages,ref-fab,1936775.551477316,2399723.7411462166,01,01173000
