STAID,STANAME,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,COMID,COMID_DRAIN_SQKM,COMID_UNITAREA_SQKM,ABS_DIFF,DA_VALID,FLOW_SCALE,REL_DIFF,COV_TRAIN,COV_EVAL
01011000,"Allagash River near Allagash, Maine",3186.844,47.069611,-69.079544,72040788,3211.956770127897,38.44445590470513,25.11277012789651,True,0.3467778503577933,0.007880137881834351,1.0,1.0
01013500,"Fish River near Fort Kent, Maine",2252.696,47.237394,-68.582642,72040863,2249.6765253980407,37.88699733406008,3.0194746019592458,True,1.0,0.0013403826357214848,1.0,1.0
01019000,"Grand Lake Stream at Grand Lake Stream, Maine",620.6238,45.172522,-67.7688,73000706,602.7168508752209,83.6120423731786,17.90694912477909,True,1.0,0.028853146019825682,1.0,1.0
01021200,"DENNYS RIVER AT DENNYSVILLE, ME",242.8407,44.901489,-67.247619,73000797,230.7330646183943,70.5785107963969,12.10763538160569,True,1.0,0.049858344921611945,1.0,0.8233254243475087
01022500,"Narraguagus River at Cherryfield, Maine",573.6006,44.607972,-67.935242,73000670,614.0399623464659,30.21459971397677,40.43936234646594,True,1.0,0.07050090663514987,1.0,1.0
01031500,"Piscataquis River near Dover-Foxcroft, Maine",769.0482,45.175008,-69.314697,73000663,764.8475270914033,15.948301318925036,4.20067290859663,True,1.0,0.005462171172881791,1.0,1.0
01034500,"Penobscot River at West Enfield, Maine",17347.38,45.236175,-68.651383,73000437,17353.926242563328,13.403644727316534,6.546242563326814,True,0.5116072757445131,0.00037736203180692494,1.0,1.0
01046500,"Kennebec River at Bingham, Maine",7056.902,45.05205,-69.885506,73000473,7109.061480336506,53.3691559879292,52.15948033650602,True,0.0226661941533567,0.0073912717416943045,1.0,1.0
01047000,"Carrabassett River near North Anson, Maine",909.0972,44.8692,-69.955103,73000656,936.413093127436,24.38285733431037,27.31589312743597,True,1.0,0.030047274513039936,1.0,1.0
01049000,"Sebasticook River near Pittsfield, Maine",1488.607,44.716778,-69.413819,73000621,1494.6141299733445,39.32600356211877,6.00712997334449,True,0.8472478912367559,0.00403540355066481,1.0,1.0
01049500,"Cobbosseecontee Stream at Gardiner, Maine",561.3147,44.229097,-69.778047,73000681,573.4772866312823,19.256474600187197,12.162586631282238,True,0.3683897554558608,0.021668035116989164,1.0,1.0
01052500,"Diamond River near Wentworth Location, NH",383.8234,44.877394,-71.057494,73000749,394.00307342465584,2.567071663152848,10.179673424655846,True,1.0,0.026521763458548505,1.0,1.0
01053500,"Androscoggin River at Errol, NH",2701.495,44.782558,-71.128686,73000610,2709.4262667278767,21.82606245901297,7.931266727876846,True,0.636614861577945,0.002935880587554982,1.0,1.0
01054200,"Wild River at Gilead, Maine",180.981,44.390444,-70.979644,73000852,180.5346558045309,13.50032319095776,0.446344195469095,True,1.0,0.002466248918223985,1.0,1.0
01054500,"Androscoggin River at Rumford, Maine",5349.329,44.551814,-70.544067,73000559,5355.927085990583,57.284512866773255,6.598085990583058,True,0.8848190259393801,0.0012334418000057685,1.0,1.0
01059000,"Androscoggin River near Auburn, Maine",8444.24,44.072297,-70.208014,73000484,8544.695480205377,122.49061119720486,100.45548020537716,True,0.1798924078870994,0.011896331724983795,1.0,1.0
01064500,"Saco River near Conway, NH",993.6964,43.990842,-71.090478,73001631,1006.1102717258102,30.40712994593616,12.413871725810168,True,0.5917447076431739,0.012492620206544139,1.0,1.0
01066000,"Saco River at Cornish, Maine",3354.558,43.808039,-70.781539,73001624,3414.7518347761934,61.34806500114867,60.1938347761934,True,0.0188144520113822,0.01794389447915147,1.0,1.0
01073500,"LAMPREY RIVER NEAR NEWMARKET, NH",471.1374,43.102586,-70.952559,73001947,491.31405387014297,22.160345495255065,20.17665387014296,True,0.0895153744573546,0.04282541328738275,1.0,1.0
01078000,"SMITH RIVER NEAR BRISTOL, NH",222.4566,43.566463,-71.747857,73002246,227.8546405212423,129.78465352609143,5.39804052124228,True,0.9584077132805452,0.024265589428420106,1.0,1.0
01081000,"WINNIPESAUKEE RIVER AT TILTON, NH",1216.967,43.441744,-71.587575,73001894,1261.1289519006052,65.08356125760676,44.16195190060512,True,0.3214576607784564,0.036288536912344474,1.0,1.0
01092000,"MERRIMACK R NR GOFFS FALLS, BELOW MANCHESTER, NH",7987.65,42.948141,-71.4634,73001746,7943.063678522102,54.06237241059775,44.5863214778974,True,1.0,0.005581907254060632,1.0,1.0
01094400,"NORTH NASHUA RIVER AT FITCHBURG, MA",166.1607,42.576201,-71.788129,73002178,181.50745869254268,20.633410408852303,15.346758692542693,True,0.2562180275366157,0.09236094150146631,1.0,1.0
01094500,"NORTH NASHUA RIVER NEAR LEOMINSTER, MA",279.657,42.501758,-71.722571,73003280,298.3937083486041,26.978348665556076,18.736708348604168,True,0.3054909112163048,0.06699888916996238,1.0,1.0
01096000,"SQUANNACOOK RIVER NEAR WEST GROTON, MA",173.1357,42.634256,-71.657848,73002284,189.0918153820992,80.33295278945056,15.95611538209917,True,0.8013752161716312,0.09215959147708513,1.0,1.0
01097000,"ASSABET RIVER AT MAYNARD, MA",299.3094,42.432038,-71.449785,73003541,293.0057112963205,18.51446082417897,6.303688703679484,True,1.0,0.021060777588941357,1.0,1.0
01098530,"SUDBURY RIVER AT SAXONVILLE, MA",274.2327,42.325373,-71.397561,73003584,300.053748490673,29.78188136676145,25.82104849067298,True,0.1329947167309927,0.09415743815625553,1.0,1.0
01099500,"CONCORD R BELOW R MEADOW BROOK, AT LOWELL, MA",1035.51,42.636758,-71.302005,73001714,1041.0318342866408,3.302621189983589,5.521834286640797,True,1.0,0.005332477993105616,1.0,1.0
01100000,"MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA",11983.35,42.645925,-71.298394,73001690,12034.192929790275,97.1620835709385,50.84292979027487,True,0.4767204662387237,0.004242797697661745,1.0,1.0
01102000,"IPSWICH RIVER NEAR IPSWICH, MA",316.4265,42.659816,-70.893662,73002039,340.9002196966069,87.21046677150677,24.473719696606903,True,0.7193717611817334,0.07734409000702187,1.0,1.0
01104200,"CHARLES RIVER AT WELLESLEY, MA",548.3745,42.316486,-71.227833,73003441,582.4648962640714,150.4012391996475,34.09039626407139,True,0.7733369987808499,0.06216626824199773,1.0,1.0
01104500,"CHARLES RIVER AT WALTHAM, MA",647.4123,42.372319,-71.233667,73003374,643.9354926187007,8.076188474790689,3.4768073812992952,True,1.0,0.005370314066166638,1.0,1.0
01109060,"THREEMILE RIVER AT NORTH DIGHTON, MA",220.1049,41.866212,-71.122824,73003643,218.51307720633227,30.836920871909985,1.591822793667717,True,1.0,0.007232109751612604,1.0,1.0
01111500,"BRANCH RIVER AT FORESTDALE, RI",237.2391,41.996487,-71.562563,73003717,237.0458783047428,18.28604731082434,0.1932216952571934,True,1.0,0.0008144597381173398,1.0,1.0
01116500,"PAWTUXET RIVER AT CRANSTON, RI",525.0195,41.750934,-71.445058,73003545,523.3416671912419,14.630394628667258,1.6778328087581258,True,1.0,0.003195753317273217,1.0,1.0
01118500,"PAWCATUCK RIVER AT WESTERLY, RI",765.774,41.383711,-71.833125,73003432,777.8629524813975,27.166034081415702,12.08895248139754,True,0.5549975220833725,0.01578657995883582,1.0,1.0
01119500,"WILLIMANTIC RIVER NEAR COVENTRY, CT.",314.8461,41.750654,-72.265635,73003748,323.9048357126624,119.82334688064935,9.05873571266244,True,0.924399243148454,0.02877194830319461,1.0,1.0
01122500,"SHETUCKET RIVER NEAR WILLIMANTIC, CT.",1048.47,41.700376,-72.182022,73003458,1082.206904835807,54.03654505600444,33.73690483580708,True,0.3756650281611906,0.03217727244061068,1.0,1.0
01127000,"QUINEBAUG RIVER AT JEWETT CITY, CT.",1838.699,41.597876,-71.984242,73003344,1854.8551182580395,7.177491946912286,16.15611825803944,True,1.0,0.008786711831593665,1.0,1.0
01129200,"CONNECTICUT R BELOW INDIAN STREAM NR PITTSBURG, NH",658.7442,45.040324,-71.443971,73000695,680.7085760499133,23.216028048203235,21.964376049913312,True,0.0539132704221035,0.03334279990611426,1.0,1.0
01139000,"WELLS RIVER AT WELLS RIVER, VT",246.3333,44.150341,-72.065092,73000925,257.7593359927907,122.80760041923344,11.426035992790672,True,0.9069598627952576,0.04638445550313608,1.0,1.0
01151500,"OTTAUQUECHEE RIVER AT NORTH HARTLAND, VT",576.1521,43.602571,-72.354258,73001980,575.4136391710731,103.42058380611306,0.7384608289269181,True,1.0,0.0012817115982514306,1.0,1.0
01152500,"SUGAR RIVER AT WEST CLAREMONT, NH",700.3791,43.387573,-72.362034,73002047,665.8096766319005,145.5054112167475,34.56942336809948,True,1.0,0.049358159556873525,1.0,1.0
01154500,"CONNECTICUT RIVER AT NORTH WALPOLE, NH",14220.09,43.126189,-72.436755,73001671,14213.635837241389,0.634098069659375,6.454162758611346,True,1.0,0.00045387636496051334,1.0,1.0
01161000,"ASHUELOT RIVER AT HINSDALE, NH",1089.694,42.785916,-72.4862,73001880,1092.16241306227,37.75096603447838,2.468413062269974,True,0.9346132477771418,0.0022652350680741327,1.0,1.0
01168500,"DEERFIELD RIVER AT CHARLEMONT, MA",938.5038,42.625918,-72.855096,73001886,986.3343686961554,54.11339137580245,47.83056869615541,True,0.1161047666743816,0.05096470434765998,1.0,1.0
01169000,"NORTH RIVER AT SHATTUCKVILLE, MA",230.6412,42.638418,-72.725092,73002067,240.65370098290168,21.325834398055157,10.012500982901685,True,0.5304989809067076,0.04341158900882273,1.0,1.0
01170500,"CONNECTICUT RIVER AT MONTAGUE CITY, MA",20389.69,42.578697,-72.574533,73001642,20465.52890489201,26.77115200454267,75.83890489201076,True,1.0,0.003719473169626942,1.0,1.0
01172500,"WARE RIVER NEAR BARRE, MA",142.6932,42.42509,-72.024521,73003758,140.25715224042526,2.761492913726624,2.436047759574734,True,1.0,0.017071926059368872,1.0,1.0
01173000,"WARE RIVER AT INTAKE WORKS NEAR BARRE, MA",248.9728,42.390646,-72.060355,73003701,235.4126114980746,32.77027120599942,13.56018850192541,True,1.0,0.05446453790102939,1.0,1.0
01173500,"WARE RIVER AT GIBBS CROSSING, MA",510.3333,42.236204,-72.272581,73003449,494.9331743218485,34.60895134431418,15.400125678151484,True,1.0,0.030176603561146185,1.0,1.0
01181000,"WEST BRANCH WESTFIELD RIVER AT HUNTINGTON, MA",243.495,42.237312,-72.895654,73003733,251.979031166822,63.531851708601074,8.484031166822007,True,0.8664601937665006,0.03484273256872628,1.0,1.0
01184000,"CONNECTICUT RIVER AT THOMPSONVILLE, CT.",25049.46,41.987319,-72.605367,73002999,25120.70984306464,15.888470898912333,71.24984306464103,True,1.0,0.002844366428044398,1.0,1.0
01186000,"WEST BRANCH FARMINGTON RIVER AT RIVERTON, CT",333.5841,41.962873,-73.017606,73003600,334.0589465086064,38.27676077728748,0.4748465086063902,True,0.9875943915063954,0.0014234686503535098,1.0,1.0
01186500,"STILL RIVER AT ROBERTSVILLE, CT.",221.4873,41.967317,-73.033996,73003753,226.53969058960632,4.693722276704535,5.052390589606318,True,1.0,0.022811197705720907,1.0,0.933199488957839
01188090,"FARMINGTON RIVER AT UNIONVILLE, CT.",977.783,41.755933,-72.886768,73003423,1015.9998236013698,86.34436166853159,38.21682360136981,True,0.5573906290710581,0.03908517902374025,1.0,1.0
01192500,"HOCKANUM RIVER NEAR EAST HARTFORD, CT.",190.6678,41.783155,-72.587311,73003588,206.6533869302341,18.7136357916296,15.98558693023412,True,0.1457786659829996,0.08383999254323027,1.0,1.0
01193500,"SALMON RIVER NEAR EAST HAMPTON, CT.",271.2563,41.552321,-72.449253,73003729,297.931889086546,32.55078243366075,26.675589086545983,True,0.1804931527863745,0.09834090152577464,1.0,1.0
01197500,"HOUSATONIC RIVER NEAR GREAT BARRINGTON, MA",732.8628,42.232033,-73.354833,73003192,737.8459766034721,20.7345994512584,4.983176603472089,True,0.759668537837626,0.0067996036959060945,1.0,1.0
01199000,"HOUSATONIC RIVER AT FALLS VILLAGE, CT.",1643.036,41.957316,-73.369286,73003155,1652.7464365463766,11.984349460102838,9.710436546376512,True,0.1897402041968502,0.005910057081145216,1.0,1.0
01200000,"TENMILE RIVER NEAR GAYLORDSVILLE, CT",532.5849,41.658983,-73.528458,73003504,552.229763266123,52.45839432030196,19.644863266123025,True,0.625515353249761,0.03688588104192032,0.8171327987482887,0.933199488957839
01200500,"HOUSATONIC RIVER AT GAYLORDSVILLE, CT.",2583.356,41.65315,-73.489846,73003140,2666.334744293601,86.7694621923193,82.97874429360081,True,0.0436872351509634,0.032120522411003674,1.0,1.0
01205500,"HOUSATONIC RIVER AT STEVENSON, CT.",3998.594,41.383985,-73.167612,73003122,4007.1760516040113,5.973233049461678,8.582051604011212,True,1.0,0.0021462673139636614,1.0,1.0
01206900,"NAUGATUCK RIVER AT THOMASTON, CT.",260.7732,41.673708,-73.069553,73003590,281.5296005501949,32.582732413010895,20.75640055019494,True,0.3629631705809142,0.0795956047254662,1.0,1.0
